trade_id,asset,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
42,SAND,LONG,2024-07-13 15:00:00+00:00,2024-07-13 15:30:00+00:00,0.3159,0.315988478206194,30m,73,0.9407199025154114,0.9489504098892212,3,1500.0,0.3124357143082656,ADAPTIVE_TRAIL_HIT,1,0.5,0.084,1.26,0.9422
43,DOT,LONG,2024-07-13 16:00:00+00:00,2024-07-13 16:30:00+00:00,6.268,6.278653461993081,30m,73,0.9533582925796509,0.9339634776115417,5,2500.0,6.1863928593993185,ADAPTIVE_TRAIL_HIT,1,0.5,0.8498,21.25,0.9521
44,TRX,LONG,2024-07-13 16:00:00+00:00,2024-07-13 22:00:00+00:00,0.14033,0.1405146002370076,1h,139,0.991457998752594,0.9782642722129822,5,2500.0,0.13880678569494748,ADAPTIVE_TRAIL_HIT,6,6.0,0.6577,16.44,0.9916
45,ICP,LONG,2024-07-13 16:00:00+00:00,2024-07-13 16:05:00+00:00,8.323,8.302826634117018,5m,25,0.9670168161392212,0.9467930793762207,5,1875.0,8.193178569108248,ADAPTIVE_TRAIL_HIT,1,0.08,-1.2119,-22.72,0.9635
46,DOT,LONG,2024-07-13 17:00:00+00:00,2024-07-13 17:30:00+00:00,6.249,6.285987699273933,30m,75,0.9537187814712524,0.9345330595970154,5,2500.0,6.173642858095467,ADAPTIVE_TRAIL_HIT,1,0.5,2.9595,73.99,0.9524
47,ICP,LONG,2024-07-13 17:00:00+00:00,2024-07-13 19:00:00+00:00,8.289,8.303471530627478,1h,33,0.9587714672088623,0.9158673882484436,5,1875.0,7.8286428555250165,ADAPTIVE_TRAIL_HIT,2,2.0,0.8729,16.37,0.9631
48,DOT,LONG,2024-07-13 18:00:00+00:00,2024-07-13 19:00:00+00:00,6.265,6.304521416138486,1h,39,0.9538632035255432,0.9282948970794678,5,2500.0,6.128392859697342,ADAPTIVE_TRAIL_HIT,1,1.0,3.1541,78.85,0.9543
49,DOT,LONG,2024-07-13 19:00:00+00:00,2024-07-13 20:00:00+00:00,6.299,6.307692907851633,1h,40,0.9558776617050171,0.9288351535797119,5,2500.0,6.171321430593729,ADAPTIVE_TRAIL_HIT,1,1.0,0.69,17.25,0.9512
50,ICP,LONG,2024-07-13 19:00:00+00:00,2024-07-13 20:00:00+00:00,8.326,8.327845427616204,1h,35,0.9643764495849609,0.929752767086029,5,1875.0,7.882785710155964,ADAPTIVE_TRAIL_HIT,1,1.0,0.1108,2.08,0.9651
51,ICP,LONG,2024-07-13 20:00:00+00:00,2024-07-13 21:00:00+00:00,8.29,8.367521366690035,1h,36,0.9659004211425781,0.9349145889282227,5,1875.0,7.859821432232856,ADAPTIVE_TRAIL_HIT,1,1.0,4.6756,87.67,0.9673
52,ICP,LONG,2024-07-13 21:00:00+00:00,2024-07-13 22:00:00+00:00,8.382,8.412878639652613,1h,37,0.9681238532066345,0.939536988735199,5,1875.0,7.982535705685615,ADAPTIVE_TRAIL_HIT,1,1.0,1.842,34.54,0.9698
53,ICP,LONG,2024-07-13 22:00:00+00:00,2024-07-13 23:00:00+00:00,8.48,8.451691625579413,1h,38,0.9705146551132202,0.9441721439361572,5,1875.0,8.099107134640217,ADAPTIVE_TRAIL_HIT,1,1.0,-1.6691,-31.3,0.9715
54,ICP,LONG,2024-07-13 23:00:00+00:00,2024-07-14 00:00:00+00:00,8.457,8.488639156857442,1h,39,0.9722480177879333,0.9484652280807495,5,1875.0,8.096285728335381,ADAPTIVE_TRAIL_HIT,1,1.0,1.8706,35.07,0.9729
55,ALGO,LONG,2024-07-14 00:00:00+00:00,2024-07-14 02:00:00+00:00,0.1449,0.14461650402117654,1h,40,0.967303991317749,0.9549898505210876,5,2500.0,0.14204285717345774,ADAPTIVE_TRAIL_HIT,2,2.0,-0.9782,-24.46,0.9666
56,ICP,LONG,2024-07-14 00:00:00+00:00,2024-07-14 01:00:00+00:00,8.479,8.546386737581091,1h,40,0.9736694097518921,0.9522551894187927,5,1875.0,8.125071419119834,ADAPTIVE_TRAIL_HIT,1,1.0,3.9737,74.51,0.9746
57,ICP,LONG,2024-07-14 01:00:00+00:00,2024-07-14 05:00:00+00:00,8.738,8.77911947136023,1h,41,0.9752177596092224,0.9516139030456543,5,1875.0,8.355321416735649,ADAPTIVE_TRAIL_HIT,4,4.0,2.3529,44.12,0.9778
58,ALGO,LONG,2024-07-14 02:00:00+00:00,2024-07-14 03:00:00+00:00,0.1443,0.1448985024856218,1h,42,0.9694939851760864,0.9604684114456177,5,2500.0,0.14121071425331758,ADAPTIVE_TRAIL_HIT,1,1.0,2.0738,51.85,0.9694
59,ALGO,LONG,2024-07-14 04:00:00+00:00,2024-07-14 05:00:00+00:00,0.1466,0.14565153245108248,1h,44,0.9729700684547424,0.9651442766189575,5,2500.0,0.14336785722840578,ADAPTIVE_TRAIL_HIT,1,1.0,-3.2349,-80.87,0.9707
60,ALGO,LONG,2024-07-14 05:00:00+00:00,2024-07-14 12:00:00+00:00,0.1479,0.14814556710128357,1h,45,0.9725940227508545,0.9546582698822021,5,2500.0,0.14434642870407552,ADAPTIVE_TRAIL_HIT,7,7.0,0.8302,20.75,0.9729
61,ALGO,LONG,2024-07-14 16:00:00+00:00,2024-07-14 17:00:00+00:00,0.1486,0.1490499468694311,1h,56,0.9787858128547668,0.9670812487602234,5,2500.0,0.14511785707101227,ADAPTIVE_TRAIL_HIT,1,1.0,1.514,37.85,0.9783
62,ALGO,LONG,2024-07-14 17:00:00+00:00,2024-07-14 18:00:00+00:00,0.1489,0.14929371575204153,1h,57,0.9794155955314636,0.968372642993927,5,2500.0,0.14554285714970902,ADAPTIVE_TRAIL_HIT,1,1.0,1.3221,33.05,0.9792
63,ALGO,LONG,2024-07-14 18:00:00+00:00,2024-07-14 19:00:00+00:00,0.1493,0.1495626308148302,1h,58,0.9802162051200867,0.9695649743080139,5,2500.0,0.1460857141746208,ADAPTIVE_TRAIL_HIT,1,1.0,0.8795,21.99,0.9801
64,ALGO,LONG,2024-07-14 19:00:00+00:00,2024-07-14 21:00:00+00:00,0.15,0.15025430251736172,1h,59,0.9811363816261292,0.9708230495452881,5,2500.0,0.14710714298998936,ADAPTIVE_TRAIL_HIT,2,2.0,0.8477,21.19,0.9811
65,LINK,LONG,2024-07-14 20:00:00+00:00,2024-07-14 21:00:00+00:00,13.242,13.296449510136291,1h,73,0.9544176459312439,0.8904842734336853,5,2500.0,12.973785710901023,ADAPTIVE_TRAIL_HIT,1,1.0,2.0559,51.4,0.9552
66,SOL,LONG,2024-07-14 20:00:00+00:00,2024-07-14 21:00:00+00:00,145.6,145.74823141115587,1h,66,0.9404903054237366,0.9140588641166687,3,1500.0,142.66250011920928,ADAPTIVE_TRAIL_HIT,1,1.0,0.3054,4.58,0.9422
67,LINK,LONG,2024-07-14 21:00:00+00:00,2024-07-16 05:00:00+00:00,13.442,14.181833994717444,1h,74,0.9560474157333374,0.8923326730728149,5,2500.0,13.150035718649626,ADAPTIVE_TRAIL_HIT,32,32.0,27.5195,687.99,0.9573
68,SOL,LONG,2024-07-14 21:00:00+00:00,2024-07-16 02:00:00+00:00,148.11,156.77179143946364,1h,67,0.942497193813324,0.9173992872238159,3,1500.0,144.82428561210634,ADAPTIVE_TRAIL_HIT,29,29.0,17.5446,263.17,0.9722
69,ALGO,LONG,2024-07-14 21:00:00+00:00,2024-07-15 14:00:00+00:00,0.1533,0.15801500842264443,1h,61,0.9812411069869995,0.9688922762870789,5,2500.0,0.1501392855953425,ADAPTIVE_TRAIL_HIT,17,17.0,15.3784,384.46,0.9809
70,SAND,LONG,2024-07-14 21:00:00+00:00,2024-07-16 06:00:00+00:00,0.323,0.3292273627379093,1h,151,0.9409415125846863,0.9157785177230835,3,1500.0,0.31741071413457395,ADAPTIVE_TRAIL_HIT,33,33.0,5.7839,86.76,0.9448
71,ICP,LONG,2024-07-15 14:00:00+00:00,2024-07-15 14:10:00+00:00,9.499,9.426891751952528,5m,55,0.970159649848938,0.9643758535385132,5,1875.0,9.301857134491206,ADAPTIVE_TRAIL_HIT,2,0.17,-3.7956,-71.17,0.9721
72,ICP,LONG,2024-07-15 15:00:00+00:00,2024-07-15 15:05:00+00:00,9.454,9.457782832997903,5m,73,0.963813066482544,0.96418696641922,5,1875.0,9.274714294910432,ADAPTIVE_TRAIL_HIT,1,0.08,0.2001,3.75,0.9588
73,NEAR,LONG,2024-07-15 16:00:00+00:00,2024-07-15 17:00:00+00:00,5.559,5.54981900860735,1h,167,0.9739943146705627,0.9713922142982483,5,2500.0,5.370071436852217,ADAPTIVE_TRAIL_HIT,1,1.0,-0.8258,-20.64,0.9744
74,NEAR,LONG,2024-07-15 17:00:00+00:00,2024-07-17 08:00:00+00:00,5.586,6.159200644664067,1h,168,0.9744277596473694,0.9717553853988647,5,2500.0,5.395285718947649,ADAPTIVE_TRAIL_HIT,39,39.0,51.3069,1282.67,0.9751
